127.0.0.1 - - [23/Jan/2018:20:42:59 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:01 +0800] "GET /carRental_fore/ HTTP/1.1" 200 9256
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:02 +0800] "GET /carRental_fore/fore/css/frist/css/style.css HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:02 +0800] "GET /carRental_fore/fore/css/frist/js/jquery.min.js HTTP/1.1" 200 92511
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/carImg/swfobject.js HTTP/1.1" 200 6887
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/js/jquery-1.7.2.min.js HTTP/1.1" 200 94840
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/css/frist/js/mousewheel.js HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/css/frist/js/jquery.touchSwipe.js HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/css/frist/js/cubeTransition.js HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/img/fll.jpg HTTP/1.1" 200 128525
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/img/yylc.png HTTP/1.1" 200 30643
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/img/erweima.jpg HTTP/1.1" 200 27249
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:03 +0800] "GET /carRental_fore/fore/img/ewm.jpg HTTP/1.1" 200 20866
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:04 +0800] "POST /carRental_fore/car/getVideo HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:04 +0800] "GET /car_img/yst.mp4 HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [23/Jan/2018:20:43:06 +0800] "GET /carRental_fore/fore/carImg/PWViewer.swf HTTP/1.1" 200 125513
